"Month","Tmin","Tmax","CP"
10,-15,0,0.0162309226613721
10,-15,1,0.0712092826608434
10,-15,2,0.233607187435016
10,-15,3,0.438598626577907
10,-15,4,0.46153068031147
10,-15,5,0.485189300856364
10,-15,6,0.5252633958469
10,-15,7,0.523930522644142
10,-15,8,0.522891594460032
10,-15,9,0.546972611504728
10,-15,10,0.553388793601391
10,-15,11,0.559755783822925
10,-15,12,0.526225002951551
10,-15,13,0.531269208324422
10,-15,14,0.498617719530584
10,-15,15,0.493540336107288
10,-15,16,0.532004396987991
10,-15,17,0.539373468928334
10,-15,18,0.532364280148047
10,-15,19,0.429992251739825
10,-15,20,0.360394637993096
10,-15,21,0.257212292047296
10,-15,22,0.226739258366354
10,-15,23,0
10,-15,24,0
10,-15,25,0
10,-15,26,0
10,-15,27,0
10,-15,28,0
10,-15,29,0
10,-15,30,0
10,-14,-14,4.8318827791989e-12
10,-14,-13,1.35750272467287e-11
10,-14,-12,5.36305693108512e-11
10,-14,-11,2.55058507214176e-10
10,-14,-10,1.30775700394679e-09
10,-14,-9,6.89558719301971e-09
10,-14,-8,3.66142796776934e-08
10,-14,-7,1.9421121586866e-07
10,-14,-6,1.02418287792592e-06
10,-14,-5,5.35389623359761e-06
10,-14,-4,2.76856036503364e-05
10,-14,-3,0.000141390390508891
10,-14,-2,0.000711870031961685
10,-14,-1,0.00352008528901925
10,-14,0,0.0168545770874855
10,-14,1,0.0736145891227285
10,-14,2,0.240227971421647
10,-14,3,0.448975269100645
10,-14,4,0.475064815742029
10,-14,5,0.492905465106642
10,-14,6,0.540743833756968
10,-14,7,0.53234560319881
10,-14,8,0.523990222204218
10,-14,9,0.56258709377035
10,-14,10,0.550803411580276
10,-14,11,0.560602202906287
10,-14,12,0.526853035573095
10,-14,13,0.523464132962115
10,-14,14,0.531657190602287
10,-14,15,0.531825143782624
10,-14,16,0.551369657365911
10,-14,17,0.550903674254563
10,-14,18,0.471462322896515
10,-14,19,0.426064683388577
10,-14,20,0.328037156842528
10,-14,21,0.328438960395839
10,-14,22,0.259864019444093
10,-14,23,0
10,-14,24,0
10,-14,25,0
10,-14,26,0
10,-14,27,0
10,-14,28,0
10,-14,29,0
10,-14,30,0
10,-13,-13,3.09009235629033e-11
10,-13,-12,8.5847126508764e-11
10,-13,-11,3.3424445309459e-10
10,-13,-10,1.56055543818703e-09
10,-13,-9,7.85618939681478e-09
10,-13,-8,4.06566507369704e-08
10,-13,-7,2.1209079953486e-07
10,-13,-6,1.10511398452274e-06
10,-13,-5,5.72350506076705e-06
10,-13,-4,2.93748028963196e-05
10,-13,-3,0.000149075365128167
10,-13,-2,0.000746526332585662
10,-13,-1,0.00367399840301912
10,-13,0,0.0175138354784226
10,-13,1,0.0761270650100864
10,-13,2,0.247077435315848
10,-13,3,0.459329530550259
10,-13,4,0.489113014210995
10,-13,5,0.504274852864198
10,-13,6,0.547582403818409
10,-13,7,0.567266037479477
10,-13,8,0.544364569533363
10,-13,9,0.573411373180784
10,-13,10,0.564891700375079
10,-13,11,0.555836086259646
10,-13,12,0.534407169555304
10,-13,13,0.535893856086995
10,-13,14,0.542235627267325
10,-13,15,0.557779399641621
10,-13,16,0.566137917874134
10,-13,17,0.540906195987573
10,-13,18,0.465507299215451
10,-13,19,0.401800925187674
10,-13,20,0.34437116054568
10,-13,21,0.485848776785646
10,-13,22,0.256192483886184
10,-13,23,0
10,-13,24,0
10,-13,25,0
10,-13,26,0
10,-13,27,0
10,-13,28,0
10,-13,29,0
10,-13,30,0
10,-12,-12,1.93676667672958e-10
10,-12,-11,5.32200487744313e-10
10,-12,-10,2.0365629178578e-09
10,-12,-9,9.33690201705772e-09
10,-12,-8,4.61640733557718e-08
10,-12,-7,2.34703479027511e-07
10,-12,-6,1.20267442121681e-06
10,-12,-5,6.15424893600432e-06
10,-12,-4,3.12934233147481e-05
10,-12,-3,0.000157625199155374
10,-12,-2,0.000784419103170887
10,-12,-1,0.00383976902917596
10,-12,0,0.0182141990671105
10,-12,1,0.0787600357074399
10,-12,2,0.25417623306625
10,-12,3,0.469875693149678
10,-12,4,0.503607339207741
10,-12,5,0.507715116121976
10,-12,6,0.559870714975714
10,-12,7,0.552122001308221
10,-12,8,0.567606607999765
10,-12,9,0.584954538950423
10,-12,10,0.597026625288865
10,-12,11,0.551898937861044
10,-12,12,0.555984637826559
10,-12,13,0.566789418928866
10,-12,14,0.546060972871837
10,-12,15,0.577244311800577
10,-12,16,0.577966156721159
10,-12,17,0.494515268913469
10,-12,18,0.45228128221316
10,-12,19,0.402183060933452
10,-12,20,0.355069417265937
10,-12,21,0.352637366683492
10,-12,22,0.272067194337001
10,-12,23,0
10,-12,24,0
10,-12,25,0
10,-12,26,0
10,-12,27,0
10,-12,28,0
10,-12,29,0
